Year	Day	DepDelay	ArrDelay	TotalDelay
1987	Friday	7.316122667105155	8.791372742470333	16.10749540957549
1987	Monday	7.755080381001638	9.423212438582881	17.17829281958452
1987	Saturday	5.947418437070031	5.928266598260302	11.875685035330331
1987	Sunday	8.297987899254256	9.154889545518502	17.45287744477276
1987	Thursday	8.067707729310266	9.764202840820278	17.831910570130546
1987	Tuesday	8.977900969189577	11.504344921586691	20.48224589077627
1987	Wednesday	9.247515016780318	11.233518950001068	20.481033966781386
1988	Friday	7.220750114044309	7.710636863087328	14.931386977131638
1988	Monday	6.7671138099428365	6.782934218215771	13.550048028158606
1988	Saturday	5.521487214046071	4.065626109577328	9.587113323623399
1988	Sunday	5.880211932734393	4.703497681544073	10.583709614278465
1988	Thursday	7.476788636406525	8.178355470845611	15.655144107252136
1988	Tuesday	6.2946411034460645	6.713622983916763	13.008264087362829
1988	Wednesday	6.730047719376951	7.385205123891466	14.115252843268417
1989	Friday	9.332860968751481	10.220807450819741	19.553668419571224
1989	Monday	6.51981834857039	6.675098963399152	13.194917311969542
1989	Saturday	7.069113951575978	5.863450445083863	12.932564396659842
1989	Sunday	7.043353767899469	6.109157203905443	13.152510971804912
1989	Thursday	9.28600743056751	10.434738180788262	19.720745611355774
1989	Tuesday	8.17304134274739	9.162941422119712	17.3359827648671
1989	Wednesday	8.844194388101936	10.052732442783952	18.89692683088589
1990	Friday	10.076779812321329	11.170785200378333	21.24756501269966
1990	Monday	5.189623500677865	4.8283618967783335	10.017985397456197
1990	Saturday	6.5468824890987944	5.241656047976994	11.788538537075787
1990	Sunday	6.072363506129038	4.968547581540975	11.040911087670015
1990	Thursday	8.78516001695544	9.968819212631802	18.75397922958724
1990	Tuesday	5.352740977555297	5.3833911299121615	10.736132107467458
1990	Wednesday	5.6374484370673015	5.942437195921426	11.579885632988727
1991	Friday	7.130594080297712	6.789779593715831	13.920373674013543
1991	Monday	4.58065837335579	3.3912351157688705	7.9718934891246604
1991	Saturday	5.2851783816937665	3.186903497006062	8.472081878699829
1991	Sunday	5.775858736329615	4.028396613741235	9.80425535007085
1991	Thursday	6.291065392149224	6.018253867362156	12.30931925951138
1991	Tuesday	4.9586389111289035	4.16854149986656	9.127180410995464
1991	Wednesday	5.7808611803552905	5.377384851002819	11.158246031358109
1992	Friday	6.870803768532697	6.571091604375544	13.441895372908242
1992	Monday	4.53513500309416	3.5384625823752294	8.07359758546939
1992	Saturday	4.831316248159987	2.698244058067417	7.529560306227404
1992	Sunday	5.44423377525618	3.799903027846929	9.244136803103109
1992	Thursday	6.957513946247486	7.095473685917534	14.05298763216502
1992	Tuesday	5.1013176286766955	4.70777116460627	9.809088793282966
1992	Wednesday	5.551603111364067	5.422945374771872	10.974548486135939
1993	Friday	7.019285550615757	6.701888828779725	13.721174379395482
1993	Monday	5.759345791197446	5.087213253745222	10.84655904494267
1993	Saturday	5.071439856549676	3.106624453739878	8.178064310289555
1993	Sunday	6.416657200858622	4.902908478742708	11.319565679601329
1993	Thursday	6.553199998900486	6.394683023774248	12.947883022674734
1993	Tuesday	5.30478680507132	4.751533445137802	10.056320250209122
